estimate,iteration,trueval
267941,1,268435
267987,2,268435
267999,3,268435
268011,4,268435
268065,5,268435
268123,6,268435
268141,7,268435
268161,8,268435
268163,9,268435
268165,10,268435
268199,11,268435
268215,12,268435
268223,13,268435
268229,14,268435
268231,15,268435
268235,16,268435
268237,17,268435
268279,18,268435
268289,19,268435
268303,20,268435
268311,21,268435
268317,22,268435
268325,23,268435
268351,24,268435
268359,25,268435
268367,26,268435
268367,27,268435
268369,28,268435
268375,29,268435
268375,30,268435
268379,31,268435
268379,32,268435
268383,33,268435
268387,34,268435
268391,35,268435
268397,36,268435
268397,37,268435
268401,38,268435
268409,39,268435
268431,40,268435
268435,41,268435
268441,42,268435
268441,43,268435
268445,44,268435
268447,45,268435
268451,46,268435
268453,47,268435
268453,48,268435
268455,49,268435
268457,50,268435
268457,51,268435
268469,52,268435
268473,53,268435
268483,54,268435
268485,55,268435
268487,56,268435
268491,57,268435
268497,58,268435
268497,59,268435
268499,60,268435
268501,61,268435
268501,62,268435
268501,63,268435
268501,64,268435
268505,65,268435
268509,66,268435
268511,67,268435
268515,68,268435
268515,69,268435
268525,70,268435
268527,71,268435
268529,72,268435
268543,73,268435
268557,74,268435
268561,75,268435
268565,76,268435
268569,77,268435
268569,78,268435
268569,79,268435
268579,80,268435
268579,81,268435
268581,82,268435
268583,83,268435
268583,84,268435
268585,85,268435
268597,86,268435
268605,87,268435
268613,88,268435
268619,89,268435
268645,90,268435
268649,91,268435
268657,92,268435
268667,93,268435
268677,94,268435
268681,95,268435
268685,96,268435
268687,97,268435
268703,98,268435
268817,99,268435
268867,100,268435
